#	url	title	authors	journal	year
1	"http://sci-hub.cc/10.1038/35002125"	"A synthetic oscillatory network of transcriptional regulators"	"Nature"	"Elowitz, MB, Leibler, S. 2000"	"N/A"
2	"http://sci-hub.cc/10.1038/35002131"	"Construction of a genetic toggle switch in Escherichia coli"	"Nature"	"Gardner, TS, Cantor, CR, Collins, JJ"	"2000"
3	"http://sci-hub.cc/10.1038/nrm3738"	"Synthetic biology in mammalian cells: next generation research tools and therapeutics"	"Nat. Rev. Mol. Cell Biol"	"Lienert, F, Lohmueller, JJ, Garg, A, Silver, PA"	"2014"
4	"http://sci-hub.cc/10.1016/j.chembiol.2009.02.005"	"Engineering of synthetic mammalian gene networks"	"Chem. Biol"	"Weber, W, Fussenegger, M."	"2009"
5	"http://sci-hub.cc/10.1016/j.copbio.2009.07.009"	"Recent advances in mammalian synthetic biology-design of synthetic transgene control networks"	"Curr. Opin. Biotechnol"	"Tigges, M, Fussenegger, M."	"2009"
6	"http://sci-hub.cc/10.1038/463288a"	"Five hard truths for synthetic biology"	"Nature"	"Kwok, R."	"2010"
7	"7"	"Bimodal and hysteretic expression in mammalian cells from a synthetic gene circuit"	"PloS ONE 3"	"May, T, Eccleston, L, Herrmann, S, Hauser, H, Goncalves, J, Wirth, D."	"2008"
8	"http://sci-hub.cc/10.1371/journal"	"Noise minimization in eukaryotic gene expression"	"PLoS Biol"	"Fraser, HB, Hirsh, AE, Giaever, G, Kumm, J, Eisen, MB"	"2004"
9	"http://sci-hub.cc/10.1038/nature01546"	"Noise in eukaryotic gene expression"	"Nature"	"Blake, WJ, KÆrn, M, Cantor, CR, Collins, JJ"	"2003"
10	"http://sci-hub.cc/10.1126/science.1151153"	"Using engineered scaffold interactions to reshape map kinase pathway signaling dynamics"	"Science"	"Bashor, CJ, Helman, NC, Yan, SD, Lim, WA"	"2008"
11	"http://sci-hub.cc/10.1073/pnas.89.12.5547"	"Tight control of gene expression in mammalian cells by tetracyclineresponsive promoters"	"Proc. Natl Acad. Sci. USA"	"Gossen, M, Bujard, H."	"1992"
